"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.0, win_ratio: 86.0, total_trade: 14, Currency_BBM: 1.8, BBlength: 200, win: 12, lose: 2, max_lost: -0.01, max_win: 0.55, Ave_profit: 0.12, Ave_loss: -0.012, Ave_trade: 0.101, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.0, win_ratio: 82.0, total_trade: 11, Currency_BBM: 1.8, BBlength: 220, win: 9, lose: 2, max_lost: -0.01, max_win: 0.55, Ave_profit: 0.153, Ave_loss: -0.012, Ave_trade: 0.123, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 9, Currency_BBM: 1.8, BBlength: 240, win: 9, lose: 0, max_lost: 0, max_win: 0.55, Ave_profit: 0.136, Ave_loss: 0, Ave_trade: 0.136, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 7, Currency_BBM: 1.8, BBlength: 260, win: 7, lose: 0, max_lost: 0, max_win: 0.57, Ave_profit: 0.167, Ave_loss: 0, Ave_trade: 0.167, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.1, lost: 0, win_ratio: 100.0, total_trade: 7, Currency_BBM: 1.8, BBlength: 280, win: 7, lose: 0, max_lost: 0, max_win: 0.57, Ave_profit: 0.163, Ave_loss: 0, Ave_trade: 0.163, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.8, lost: -0.6, win_ratio: 63.0, total_trade: 49, Currency_BBM: 1.9, BBlength: 60, win: 31, lose: 18, max_lost: -0.11, max_win: 0.34, Ave_profit: 0.057, Ave_loss: -0.033, Ave_trade: 0.024, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.6, lost: -0.4, win_ratio: 72.0, total_trade: 39, Currency_BBM: 1.9, BBlength: 80, win: 28, lose: 11, max_lost: -0.11, max_win: 0.19, Ave_profit: 0.056, Ave_loss: -0.038, Ave_trade: 0.029, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.7, profit: 1.0, lost: -0.3, win_ratio: 52.0, total_trade: 27, Currency_BBM: 1.9, BBlength: 100, win: 14, lose: 13, max_lost: -0.05, max_win: 0.19, Ave_profit: 0.068, Ave_loss: -0.02, Ave_trade: 0.026, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.7, profit: 0.8, lost: -0.1, win_ratio: 64.0, total_trade: 22, Currency_BBM: 1.9, BBlength: 120, win: 14, lose: 8, max_lost: -0.05, max_win: 0.16, Ave_profit: 0.06, Ave_loss: -0.018, Ave_trade: 0.031, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 1.1, lost: -0.2, win_ratio: 70.0, total_trade: 20, Currency_BBM: 1.9, BBlength: 140, win: 14, lose: 6, max_lost: -0.09, max_win: 0.16, Ave_profit: 0.076, Ave_loss: -0.033, Ave_trade: 0.043, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.3, lost: -0.1, win_ratio: 75.0, total_trade: 16, Currency_BBM: 1.9, BBlength: 160, win: 12, lose: 4, max_lost: -0.03, max_win: 0.32, Ave_profit: 0.111, Ave_loss: -0.018, Ave_trade: 0.079, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.3, lost: -0.0, win_ratio: 86.0, total_trade: 14, Currency_BBM: 1.9, BBlength: 180, win: 12, lose: 2, max_lost: -0.01, max_win: 0.32, Ave_profit: 0.109, Ave_loss: -0.012, Ave_trade: 0.092, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.4, profit: 1.4, lost: -0.0, win_ratio: 82.0, total_trade: 11, Currency_BBM: 1.9, BBlength: 200, win: 9, lose: 2, max_lost: -0.01, max_win: 0.55, Ave_profit: 0.161, Ave_loss: -0.012, Ave_trade: 0.129, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.4, lost: -0.0, win_ratio: 89.0, total_trade: 9, Currency_BBM: 1.9, BBlength: 220, win: 8, lose: 1, max_lost: -0.01, max_win: 0.55, Ave_profit: 0.17, Ave_loss: -0.013, Ave_trade: 0.15, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 8, Currency_BBM: 1.9, BBlength: 240, win: 8, lose: 0, max_lost: 0, max_win: 0.55, Ave_profit: 0.153, Ave_loss: 0, Ave_trade: 0.153, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.2, profit: 1.2, lost: 0, win_ratio: 100.0, total_trade: 7, Currency_BBM: 1.9, BBlength: 260, win: 7, lose: 0, max_lost: 0, max_win: 0.57, Ave_profit: 0.172, Ave_loss: 0, Ave_trade: 0.172, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.9, profit: 0.9, lost: 0, win_ratio: 100.0, total_trade: 5, Currency_BBM: 1.9, BBlength: 280, win: 5, lose: 0, max_lost: 0, max_win: 0.65, Ave_profit: 0.19, Ave_loss: 0, Ave_trade: 0.19, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.3, profit: 1.9, lost: -0.6, win_ratio: 62.0, total_trade: 45, Currency_BBM: 2.0, BBlength: 60, win: 28, lose: 17, max_lost: -0.11, max_win: 0.36, Ave_profit: 0.069, Ave_loss: -0.034, Ave_trade: 0.03, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 1.1, profit: 1.5, lost: -0.4, win_ratio: 69.0, total_trade: 32, Currency_BBM: 2.0, BBlength: 80, win: 22, lose: 10, max_lost: -0.09, max_win: 0.4, Ave_profit: 0.069, Ave_loss: -0.038, Ave_trade: 0.035, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.7, profit: 0.9, lost: -0.2, win_ratio: 64.0, total_trade: 22, Currency_BBM: 2.0, BBlength: 100, win: 14, lose: 8, max_lost: -0.05, max_win: 0.2, Ave_profit: 0.065, Ave_loss: -0.027, Ave_trade: 0.031, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.8, profit: 1.0, lost: -0.1, win_ratio: 75.0, total_trade: 20, Currency_BBM: 2.0, BBlength: 120, win: 15, lose: 5, max_lost: -0.05, max_win: 0.2, Ave_profit: 0.064, Ave_loss: -0.025, Ave_trade: 0.042, RSIoverSold: 50, RSIoverBought: 50, "
"name: BTCUSDT, total: 0.8, profit: 0.9, lost: -0.1, win_ratio: 76.0, total_trade: 17, Currency_BBM: 2.0, BBlength: 140, win: 13, lose: 4, max_lost: -0.02, max_win: 0.23, Ave_profit: 0.068, Ave_loss: -0.015, Ave_trade: 0.048, RSIoverSold: 50, RSIoverBought: 50, "
